,code,name
391,KR733637K028,솔루스첨단소재2우B
392,KR7336370002,솔루스첨단소재
393,KR7248070005,솔루엠
394,KR7004430005,송원산업
395,KR7017550005,수산중공업
396,KR7134790005,시디즈
397,KR7016590002,신대양제지
398,KR7029530003,신도리코
399,KR7004970000,신라교역
400,KR7011930005,신성이엔지
401,KR7005390000,신성통상
402,KR7034300004,신세계건설
403,KR7004170007,신세계
404,KR7035510007,신세계 I&C
405,KR7031430002,신세계인터내셔날
406,KR7031440001,신세계푸드
407,KR7006880009,신송홀딩스
408,KR7005800008,신영와코루
409,KR7001720002,신영증권
410,KR7009270000,신원
411,KR7002700003,신일전자
412,KR7019170000,신풍제약
413,KR7002870004,신풍제지
414,KR7055550008,신한지주
415,KR7293940003,신한알파리츠
416,KR7001770007,신화실업
417,KR7004080008,신흥
418,KR7102280005,쌍방울
419,KR7003410008,쌍용양회
420,KR7003620002,쌍용차
421,KR7004770004,써니전자
422,KR7015540008,쎌마테라퓨틱스
423,KR7004920005,씨아이테크
424,KR7112610001,씨에스윈드
425,KR7000120006,CJ대한통운
426,KR7079160008,CJ CGV
427,KR7097950000,CJ제일제당
428,KR7008700007,아남전자
429,KR700279K010,아모레G3우(전환)
430,KR7002790004,아모레G
431,KR7090430000,아모레퍼시픽
432,KR7002030005,아세아
433,KR7183190008,아세아시멘트
434,KR7002310001,아세아제지
435,KR7267850006,아시아나IDT
436,KR7020560009,아시아나항공
437,KR7122900004,아이마켓코리아
438,KR7010780005,아이에스동서
439,KR7001780006,알루코
440,KR7018250001,애경산업
441,KR7161000005,애경유화
442,KR7011090008,에넥스
443,KR7034120006,SBS
444,KR7005850003,에스엘
445,KR7012750006,에스원
446,KR7004060000,SG세계물산
447,KR7001380005,SG충방
448,KR7006120000,SK디스커버리
449,KR7068400001,SK렌터카
450,KR7302440003,SK바이오사이언스
451,KR7326030004,SK바이오팜
452,KR7000660001,SK하이닉스
453,KR7023960008,에쓰씨엔지니어링
454,KR7298690009,에어부산
455,KR7078520004,에이블씨엔씨
456,KR7015260003,에이엔피
457,KR7140910001,에이리츠
458,KR7039570007,HDC아이콘트롤스
459,KR7089470009,HDC현대EP
460,KR7082740002,HSD엔진
461,KR7011200003,HMM
462,KR7003060001,에이프로젠제약
463,KR7007460009,에이프로젠 KIC
464,KR7244920005,에이플러스에셋
465,KR7036570000,엔씨소프트
466,KR7138250006,엔에스쇼핑
467,KR7005940002,NH투자증권
468,KR7085310001,엔케이
469,KR7009810003,엔케이물산
470,KR7229640008,LS전선아시아
471,KR7108670001,LG하우시스
472,KR7037560000,LG헬로비전
473,KR7014440002,영보화학
474,KR7111770004,영원무역
475,KR7009970005,영원무역홀딩스
476,KR7003520004,영진약품
477,KR7000670000,영풍
478,KR7006740005,영풍제지
479,KR7012280004,영화금속
